Sample_ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06
PSMC1_32624	5.449655211	4.975287457	5.35284835	5.430780946
S1PR3_32754	1.922290173	1.817894644	1.546103413	1.748141259
LGALS3BP_8990	4.359781028	4.344394962	3.636700004	4.133534548
TINAG_33073	0	0.05261358	0	0.288276037
CASP2_8200	3.228161078	3.320252074	3.185635709	3.233404241
FBLIM1_8615	0.084958794	0	0	0
CCNC_32560	4.778557995	4.013817656	4.377621068	4.421041477
PYGM_32527	0.570715087	0.568370106	0.222780195	0.491080304
FMO1_32787	7.32286989	7.383280284	7.360614208	7.508079569
CRK_8382	3.767310386	2.877999395	3.075639233	3.133919948
CDCA7_32988	0.16519148	0.199836801	0.115686032	0.413345181
CDA_32590	0	0	0	0
FCGBPL1_33220	0	0	0	0
NGRN_9312	1.022315675	0.604061331	0.701483487	0.76587738
CRYAB_33054	0.313396542	0.333417707	0.322470949	0.37284833
ZFP451_10207	0.683987853	0.455671573	0.701483487	0.635011715
URAD_32538	4.726620224	4.062735702	4.510387758	4.853275194
ASNS_8091	3.190314257	3.068890711	2.536222867	3.648261893
ATP2C1_8107	5.050869365	5.133253309	4.656046795	4.942454892
ABCB1A_7938	0.447785131	0	0.585867144	0.528431582
ACAA1A_7954	6.607419057	6.01317825	6.146482256	6.460599239
MYL9_9276	2.374445216	1.877442557	1.58677122	1.825204224
TMEM97_10047	2.054566239	1.514554188	1.73886469	1.940534574
DPH2_8490	0	0	0.115686032	0.052225782
HOOK2_8821	2.456451621	2.068402897	2.031795825	2.284115064
HGF_32812	4.994337158	4.499316869	4.287975484	4.587340887
HEATR1_8791	2.440419021	2.00306626	1.826375376	2.337702334
SPC25_9925	0.313396542	0.199836801	0.460171823	0.102626845
C4BPA_32954	8.383220724	7.639885251	7.996819285	7.966491431
FKBP1A_8648	5.079620402	4.315082995	4.709967638	4.716346923
TXNDC9_10111	5.864449388	5.661688399	5.348420433	5.671005973
ENG_32663	1.899015146	1.514554188	1.859945533	1.666728458
RNF167_9717	3.959564974	3.309482574	3.702943496	3.609573035
ST3GAL1_32507	3.618507089	3.112912546	3.423121212	3.583191768
BCAT2_32849	0.570715087	0.706124519	0.625444392	0.701927879
EXOG_32486	0.447785131	0.199836801	0.369846694	0.288276037
CAR3_8196	11.11312841	10.99342683	10.86992516	10.88379628
SLC5A5_32559	0	0	0.059002276	0
CLU_32773	4.641528193	4.226260674	4.383403943	4.486560613
RT1-DMA_32874	0.789010842	0.831864442	0.701483487	0.91435065
CTNNB1_8400	1.826848541	1.397393708	1.702317959	1.580445234
XRCC1_32947	0	0	0	0
SMC3_9899	3.848527371	3.881917012	3.85218999	3.838717047
RRM2B_33011	4.729921692	4.710522539	4.536573832	4.613647079
EXT1_8582	4.192775885	3.814962668	3.9134246	4.062103595
IL36G_32760	0	0	0	0
CRIP1_32865	3.667538753	3.191265907	3.185635709	3.216339291
UGT2B10_33303	8.429896547	7.398287128	8.082186996	8.473018088
USP22_10140	2.869550554	2.477283301	2.567038801	2.698805273
ACOT4_7971	2.893301889	2.935164923	2.383013661	3.216339291
NAAA_32484	0.933468171	0.455671573	0.738051098	0.796819621
TYMS_32803	3.265040374	2.691509478	2.987263021	3.121751765
TBPL1_9987	1.922290173	1.397393708	1.546103413	1.45026257
STMN1_32298	3.799091051	2.976599994	2.971992622	3.216339291
LRP10_9156	3.301000384	2.732399457	2.94877962	3.315826437
CENPN_8289	0.084958794	0.10337572	0.059002276	0.052225782
GALM_32658	1.945195657	1.833013628	2.211579599	2.12252878
PLG_9501	11.8777742	11.24593599	11.83525542	11.62732608
PROS1_9577	6.585716997	6.096196922	6.018549967	6.19625111
SNAP25_9907	0	0	0	0
TNNI2_32751	0	0	0	0.052225782
ALOX15_8036	1.399308415	1.847975812	1.323556045	1.981512426
HDGFRP3_8789	0.16519148	0.152412305	0.115686032	0.102626845
NR5A1_33081	0	0	0	0
CTHRC1_32423	0	0	0	0
G3BP1_8673	5.873433637	5.437693819	5.416276587	5.613508903
RGD1565002_9697	2.440419021	2.248338281	2.211579599	2.327142933
MCM6_9210	0.683987853	0.375330685	0.415716035	0.37284833
CHRNA6_8315	0	0	0	0
LRRC17_32500	0.16519148	0.10337572	0.115686032	0.198435602
FXYD5_32701	0.313396542	0.199836801	0	0
ECHS1_8519	8.615371689	7.890556576	8.350878782	8.181235587
UGDH_10131	4.9777697	4.841513695	4.979906129	4.886018523
CCP110_8230	0.510559049	0.8908501	0.460171823	0.600352547
SLC27A3_9861	0.447785131	0.375330685	0.545173481	0.102626845
PPOX_9542	3.1013443	2.533895097	3.046777865	2.778476443
UBR7_10129	3.378775755	3.112912546	2.860319427	3.19907007
POLR1E_9523	1.14610054	1.73982764	1.323556045	1.328490482
COL14A1_8350	3.694826382	4.391111415	3.826949381	3.9461294
SCN3B_33222	0	0	0	0
HSPD1_8849	8.344438306	8.042583975	8.159839106	8.292448381
KIF20B_8962	0.510559049	0.531773458	0.415716035	0.288276037
SLC22A1_33065	6.18983225	6.368739494	5.950061742	6.311888596
EPRS_8569	6.93445627	6.385500787	6.754788929	6.81959176
SFN_9820	0	0	0.059002276	0
RFC5_9679	3.228161078	3.276683148	2.636481725	3.040053924
GDF15_33113	0.978575767	0.638890857	1.088899363	0.76587738
KIF23_32798	0.447785131	0.333417707	0.115686032	0.102626845
NHP2_32664	3.41204089	2.913992405	2.809680002	3.222050065
MRPL19_9246	4.073099869	3.768535374	3.868775022	3.990301088
CTSD_8403	2.845401642	2.202506804	2.636481725	2.657256637
SLC25A27_32933	0.084958794	0.05261358	0.115686032	0.052225782
PDLIM1_9452	2.691348836	2.13090833	2.546568154	2.897451013
NS5ATP9_9367	0.241196275	0.152412305	0.170226612	0.102626845
IRAK3_8912	0.16519148	0.24575184	0.170226612	0.102626845
PLK4_9505	0.382155076	0.24575184	0.415716035	0.244055032
NREP_9364	6.103379465	5.529881588	4.431644406	5.681406614
SLC1A4_9843	0.084958794	0	0	0.052225782
CEP57_8291	0.886904586	0.861658709	0.415716035	0.796819621
SSBP2_9944	0.084958794	0.152412305	0.170226612	0.198435602
SULT1C3_9971	8.198658643	8.360811696	8.028302834	8.046315477
SNX11_9911	1.14610054	1.154252321	0.663964849	1.124081556
GNAS_8726	0	0	0	0.052225782
STK10_9962	0.628462882	0.672899312	0.970954249	0.796819621
KIF20A_8961	0.16519148	0.152412305	0	0.102626845
ATP6AP1_33058	6.30055398	5.672235051	5.902527241	6.032850481
FKBP5_8650	5.67533752	4.677399634	5.102419329	5.087153259
DDR1_8451	0.16519148	0.05261358	0.273486484	0.244055032
NUSAP1_9385	0.16519148	0.10337572	0.115686032	0.151326404
RCN3_32684	1.670689932	1.201617352	1.274609041	1.390660931
ELOVL6_8557	2.269457853	1.847975812	2.131375758	1.598119648
FGF21_8635	1.296180571	1.755782649	0.545173481	1.410802976
SULT1B1_32942	10.00109342	9.730930957	9.662035876	10.36600838
DYRK3_8508	0	0.05261358	0	0
SOD3_33241	0.628462882	0.638890857	0.663964849	0.564840192
BLOC1S2_33034	3.265040374	2.67482337	2.472543116	3.443524407
UGT1A1_33117	10.2405309	10.08104714	9.647466437	10.38550151
EI24_32946	8.152350285	8.174925101	7.94521572	8.246957248
KHK_8958	7.142624538	7.091519733	6.986159509	7.141507876
CDKN1B_8272	3.589722182	3.137477635	3.262957003	3.342286296
PTK2_9613	2.175726391	1.514554188	2.26267417	2.060133436
NAT2_33165	1.223091234	1.269870981	1.116938282	1.099473016
CCNB1_8222	0.16519148	0.10337572	0.222780195	0.102626845
VARS2_32745	1.064768397	0.8908501	0.738051098	0.827112138
P2RY10_32285	0.447785131	0.604061331	0.545173481	0.491080304
ETFB_8574	6.687711361	6.064521544	6.569371973	6.623183664
IL4R_8896	3.981890727	3.700095647	3.968323084	3.935740967
SLC24A2_32779	0	0	0	0
SLC7A1_9883	0	0.05261358	0.059002276	0
LYPLA1_9168	6.253155228	6.167260302	6.075920968	6.32123023
PRKAR2B_33052	0.447785131	0.152412305	0.322470949	0.37284833
CAR14_8195	5.013428424	4.752873351	5.059720027	4.884218815
CCNO_32630	0	0	0	0
GTF2H1_8768	1.526259579	1.335040885	1.347420568	1.307157037
GMNN_8719	0.16519148	0.199836801	0.273486484	0.33118181
ELOVL5_8556	6.864084328	6.00067954	6.277249514	6.441145187
MAPKAPK2_9193	4.083460901	3.830112249	3.881089863	4.18414733
CALCOCO1_32442	1.642937481	1.674182303	1.73886469	1.699846893
VIM_10153	4.816319951	3.803495161	3.734958465	3.846132093
S100A10_32340	2.916668527	2.496401794	2.483353522	2.429412306
HMGCR_8810	6.147253341	5.340533782	5.632014108	5.480465971
SLCO1A2_9886	3.925414868	4.125481879	3.597434552	3.886247302
CYP11B3_32478	0	0	0	0
SERPINE1_9813	0.084958794	0	0	0
DERA_8462	5.007999507	4.608781232	4.764163563	4.695973196
RAB1A_33291	5.864449388	5.312491494	5.45797769	5.714193587
A2M_7932	6.822164415	5.018911016	5.608753312	5.81493581
DFFB_8464	0.382155076	0.770363925	0.585867144	0.668857732
DUSP3_8504	2.663994723	2.225604531	2.39451343	2.368924588
CYP3A2_32374	14.26582739	14.56443505	14.38593825	14.50498774
ITGB1_8925	5.772989892	5.405185898	5.307945477	5.493510028
FBP1_8617	4.103962371	3.362543711	4.08647492	4.036405162
BID_8145	3.309852061	3.100471347	2.979648026	3.078336262
CDH22_32502	0	0	0	0
B3GAT2_32427	0	0	0	0
BPHL_8157	4.840956419	4.385994777	5.210466704	4.810325067
SPDEF_9927	0	0	0	0
KRT18_8977	3.038828787	2.325198541	2.536222867	2.770704423
CNPY3_8345	2.783199382	2.093730956	2.494083524	2.543273106
PCBD1_9435	9.18195858	9.044825494	9.034293395	9.194174336
CDC25A_8256	0.382155076	0	0	0.151326404
CTNND1_8401	5.189215981	5.091429704	4.893391819	5.281532512
OXA1L_9402	4.91534076	4.206079712	4.564839954	4.558290579
HDAC2_8785	5.315449063	5.061254129	4.520919292	5.00507088
MYOF_33305	0.084958794	0.152412305	0.059002276	0.052225782
RARRES1_33060	7.034636371	6.787836312	6.509155311	6.72321821
KDM3A_8952	2.175726391	2.167151685	2.287558509	2.534120499
ZDHHC6_10196	4.067891315	3.59315622	3.818436749	3.681802049
FCER1A_32292	0.447785131	0.41606031	0.115686032	0.244055032
VEGFB_32839	2.322906337	1.862784415	2.185337303	2.305789404
ITGAX_32980	0	0.05261358	0	0
TUBG1_10107	3.545438453	2.795504486	3.082765254	3.133919948
GADD45G_33229	3.80536403	2.892504532	3.674925032	3.261404784
BAMBI_8130	1.464179943	1.437513713	1.439116697	1.430667678
LOC100911553_9082	1.399308415	1.313643021	1.001356752	1.124081556
TUBA1C_32945	4.372511296	3.724623273	3.792593266	3.904119158
PLSCR3_9509	1.18510941	0.672899312	1.171432425	0.91435065
SOCS3_32863	2.011807736	1.976079948	1.809292749	2.12252878
JUN_8938	2.232692755	1.707378312	1.986920624	1.748141259
SERPINE2_32301	2.407809205	2.106230165	1.809292749	2.217067009
SLC6A13_32644	4.573326044	3.814962668	4.128400946	4.087352267
STAC3_9953	6.335650148	5.923324229	5.596358468	6.25034622
PMP22_32290	1.776650578	1.802615538	1.461158173	1.649879708
FAM129B_32749	0.570715087	0.290250552	0.222780195	0.413345181
HSD17B11_8832	6.85428535	6.741014234	6.927007587	6.947038949
MYOZ2_33236	0	0	0	0
CASR_32371	0	0.05261358	0	0.052225782
LOC100910229_32519	1.776650578	2.588369055	2.77490514	0.413345181
UTP14A_10144	2.424206248	1.934629721	2.158608808	2.561405945
PDE6B_9445	0	0	0	0
SPTLC2_9934	2.731431463	1.948579206	2.172034954	2.17057213
BANF1_8131	3.981890727	3.615187664	3.766278384	3.827522524
KDM5A_8954	4.078289686	3.740746378	3.562178157	3.860848823
PLAUR_33147	0.16519148	0.199836801	0.273486484	0.244055032
AKR1D1_32336	9.118666836	8.527928137	9.55577788	9.366980341
MGC112830_9226	0.789010842	0.975039294	0.545173481	0.91435065
KPNA1_32317	2.340291343	1.771563138	2.075317183	2.194006865
AGL_8002	0	0.10337572	0	0
HSD3B_8835	0.084958794	0.290250552	0.170226612	0.102626845
CD55_33080	0.241196275	0.24575184	0.322470949	0.288276037
SLC1A5_32581	0.313396542	0.152412305	0.115686032	0.102626845
CFI_32585	9.956342964	9.269651909	9.804484904	9.781008139
CMPK2_33290	0.933468171	0.10337572	0.701483487	0.491080304
PAK1_9416	2.440419021	1.862784415	2.211579599	2.08541631
LOC100912608_9111	0	0	0	0.102626845
ALB_8020	15.95852057	15.16103742	15.80672763	15.65217727
COL6A3_33029	1.556325569	1.976079948	1.439116697	2.072830257
CML1_33145	0	0.152412305	0.115686032	0.102626845
ARHGAP11A_8079	0.084958794	0.10337572	0.059002276	0.151326404
STEAP4_32408	2.251192414	1.877442557	2.299841551	2.158710449
MSN_9253	4.422337937	3.632573742	3.712163354	3.758467513
IGSF6_8886	0.447785131	0.152412305	0.322470949	0.33118181
MYH1_33199	0	0	0	0.102626845
CXCL12_32815	5.95045486	6.320610556	6.122479003	6.041757897
FZD8_32801	0.241196275	0.24575184	0.115686032	0.198435602
LPAR2_9151	0.683987853	0.604061331	0.875702582	0.942295994
GRIA2_33071	0.16519148	0.152412305	0.115686032	0.198435602
ADHFE1_7993	3.575111453	3.248768904	3.626983374	3.618260667
GAA_8675	4.093748053	2.77216237	3.287836506	3.677651925
MSRA_9254	7.044613619	6.585105336	6.708894477	6.804921573
LRRC41_9160	2.74454863	2.505866864	2.7119562	2.861314394
FGF1_8633	0.510559049	0.738601744	0.663964849	0.76587738
NEFL_9295	0	0	0	0.052225782
BCL2_8135	0.16519148	0	0	0.102626845
RARS_9660	1.899015146	1.002044897	1.606683158	1.526084454
GLYAT_34103	4.093748053	3.467998106	3.716751281	3.9461294
FEN1_8630	0.084958794	0.10337572	0.115686032	0.052225782
MBTPS1_9203	4.230559021	3.679332523	3.998780504	4.102911201
SLC25A14_9851	0	0	0	0
ACSS1_32386	0.447785131	0.333417707	0.322470949	0.635011715
DEPTOR_32826	1.826848541	1.587688387	1.683691446	1.763886684
CSRNP1_32455	2.305309277	1.657293397	2.347953916	2.17057213
UHRF1_10132	0.16519148	0	0.115686032	0
MYC_9271	3.361851065	2.457908044	2.971992622	3.233404241
MAFF_9172	1.18510941	1.269870981	1.088899363	1.562551603
MAPK14_9188	6.147253341	5.823720668	5.861682586	5.725294189
CCDC92_8216	0.084958794	0.290250552	0.369846694	0.528431582
PAN2_9420	0.084958794	0.10337572	0.115686032	0.244055032
DRAM2_33198	7.637401732	7.562344221	7.282692209	7.485406455
SHCBP1_9826	0	0	0.059002276	0
NAA10_32633	0.933468171	0.8908501	0.701483487	0.91435065
PNKD_34104	3.301000384	2.543118128	2.940958205	2.868614493
ATAD5_32790	0.737454798	0.24575184	0.322470949	0.102626845
ARG1_33267	6.779786538	5.836905314	6.845562727	6.574350842
FEZ2_8631	0.510559049	0.10337572	0.322470949	0.37284833
CENPF_8287	0.16519148	0.290250552	0.369846694	0.244055032
DPP7_8492	0.570715087	0.152412305	0.625444392	0.413345181
LOC100909929_32704	8.285078832	7.88081384	8.41774179	8.41810468
AXIN1_8118	0.241196275	0.152412305	0.322470949	0.102626845
KDR_8956	4.868178686	4.50168418	4.707664687	4.677387554
LEF1_34109	0.084958794	0.152412305	0.115686032	0.151326404
MBL2_32353	1.14610054	1.397393708	1.546103413	1.544433248
GPATCH4_8740	2.269457853	1.833013628	1.546103413	2.072830257
HAO2_8778	11.56780973	11.35815102	10.87134045	11.29427303
SERPINA1_9807	15.69004667	15.98691623	15.63518679	15.7892726
ITPKA_8930	0.16519148	0.24575184	0.222780195	0
LOC100364316_32692	0	0	0	0
RGD1562997_32695	0.16519148	0.10337572	0.170226612	0.198435602
LSS_9163	3.85458948	3.830112249	3.748464629	3.578747606
ALDOA_8030	0	0	0.059002276	0
ERBB2_8570	0.084958794	0	0	0
F3_32469	1.899015146	1.437513713	1.75679664	1.854912604
KIF11_33013	0	0	0	0
PUF60_9624	4.482294663	3.776377755	4.247329529	4.344572827
ARNT_32339	1.945195657	1.397393708	1.683691446	1.869540488
SEC11A_32884	6.813632258	6.713706156	6.474356912	6.629106005
UCP1_32389	0	0	0	0
FGF17_8634	0	0	0	0
BZW2_8165	0.737454798	0.919462529	0.625444392	0.969710301
FGG_8639	14.29939155	13.61040181	14.05838993	13.99984073
NNT_9326	6.048906519	5.798910555	5.911560079	5.925818256
CLEC4A3_8330	0	0	0	0
BNIP3_8154	1.022315675	1.376907411	1.060304685	1.507499282
CYR61_32555	0.313396542	0	0.322470949	0.452736243
CDH3_8263	0.084958794	0	0.059002276	0
IFITM2_8870	0.447785131	0.290250552	0.273486484	0.052225782
SLPI_9890	4.020148272	4.10382977	3.805572875	3.963278933
FSTL1_34093	3.754399469	3.341552856	3.262957003	3.61392339
ATP6V1D_8113	4.699932911	4.173785155	4.294128302	4.569533107
ACE_32504	0	0	0	0
TRAPPC3_10075	1.18510941	0.494224252	1.001356752	0.942295994
AMDHD2_8039	0.570715087	0.706124519	0.701483487	0.996613377
PTPRK_9622	4.454624632	3.899976958	4.256811518	4.247116217
PEX11A_9460	0.683987853	0.375330685	0.222780195	0.288276037
USP6NL_10141	1.96774315	1.313643021	1.73886469	1.716125306
LOC102555634_32355	0	0.10337572	0.170226612	0.102626845
SOCS2_9914	5.559501508	7.035437828	3.651153335	5.65103577
PTBP1_32416	4.422337937	3.615187664	3.956733711	4.13958198
G0S2_32729	4.672742612	3.524968308	3.693664337	4.596163022
S100A4_9772	2.407809205	1.397393708	1.52533138	1.328490482
VDAC1_32318	3.091111363	2.387969048	3.262957003	2.980655602
PRKX_9570	0.683987853	0.604061331	0.460171823	0.885853287
SPAG7_9922	2.374445216	1.437513713	1.792005425	1.954323588
MKI67_9232	1.022315675	0.568370106	0.738051098	0.635011715
SPAG4_32804	0.084958794	0	0	0
IKBKE_8890	1.697918583	1.891953265	1.892752274	1.748141259
SERPINA3C_32925	8.555459443	8.599161119	8.066097181	8.767411273
CAST_8205	3.387164223	2.885270193	3.244011702	3.2834204
CLK2_32549	0.933468171	0.568370106	0.701483487	0.942295994
DRAP1_8496	1.96774315	1.457162939	2.016991979	1.810117428
CYP2F4_8422	2.757547608	2.740440197	2.62676362	2.846602437
EXOSC8_8581	2.287494927	1.802615538	2.198518118	2.02135843
GAR1_8684	1.223091234	0.975039294	1.001356752	0.996613377
DCC_32537	0	0	0	0
DTL_33248	0	0	0	0
POSTN_9532	0.313396542	0	0	0.052225782
MRPS16_9249	2.563952048	1.948579206	2.14505654	2.337702334
NP4_34124	0	0	0	0
TMEM2_10042	0.510559049	0.706124519	0.545173481	0.528431582
LOC498453_32857	0	0	0	0
YWHAH_10193	5.832556467	5.78537241	5.490491879	5.700963616
SKIV2L_9830	1.875358457	1.891953265	1.792005425	1.794871195
JAK1_8934	6.447164067	6.375209211	6.312533336	6.225685697
PTPRCAP_33252	0	0.10337572	0	0
REG3G_33090	0	0	0	0.288276037
PVRL2_33014	0	0.152412305	0.059002276	0.052225782
CTH_32463	6.097001413	5.43149892	6.267901337	6.052214428
GRIN1_32381	0	0	0	0
GRIN2C_33254	0	0	0	0
MYF6_32679	0	0	0	0
MGP_33209	1.697918583	1.605406994	1.393997023	1.994917079
HSD17B8_32395	2.232692755	2.13090833	2.450676215	2.194006865
DDIT4_8450	1.776650578	0.861658709	1.683691446	1.285503389
PAPSS2_33237	4.462584655	4.290649445	4.439992474	4.238689683
LOC100912409_9106	4.949727336	4.575457239	4.98371797	4.821653305
DLD_8474	5.763355682	5.325912964	5.580084309	5.598220504
FCGR2A_8624	1.399308415	1.269870981	1.001356752	1.099473016
PLOD1_33035	1.432108771	1.178129208	1.223942891	1.562551603
TRMT6_10088	1.106007531	1.028554262	0.84250131	1.074437425
PLK3_32627	0.241196275	0.24575184	0.322470949	0.37284833
CYP1A1_8415	0	0	0.059002276	0
SLC25A4_9857	2.305309277	1.906319477	1.73886469	2.205583011
PNP_9516	0	0	0	0
LOC100911727_32894	1.399308415	0.672899312	0.84250131	1.14827737
TIMM9_10021	3.255908555	2.996879644	2.577166222	3.388724468
MFAP4_32762	3.866637811	4.65630487	3.439867396	4.302069358
ANGPTL3_8045	1.464179943	0.831864442	0.970954249	1.124081556
GNAI1_8723	0.628462882	0.199836801	0.415716035	0.413345181
HS2ST1_8829	3.378775755	3.282201765	3.244011702	3.2834204
MICALL1_9229	1.260098706	1.154252321	1.299290114	1.45026257
PLCB1_9495	3.625614465	3.408685403	3.488970315	3.690066653
LAMA3_8980	1.750881049	1.690875784	1.774508438	1.716125306
GP1BB_32425	0	0	0	0
RBM34_9666	1.776650578	1.397393708	1.439116697	1.544433248
CDCA8_33310	0.16519148	0.05261358	0.059002276	0.198435602
STK3_33031	0	0	0	0.052225782
HCK_8783	0.933468171	0.638890857	0.585867144	0.600352547
CEBPZ_8284	2.92821144	2.740440197	2.26267417	2.91165597
MFAP2_33232	0.510559049	0.919462529	0.222780195	0.600352547
BLCAP_8149	1.826848541	1.247476649	1.347420568	1.263519779
TYROBP_10115	3.507467809	2.921084491	2.909241489	2.543273106
ARL11_32961	0	0	0	0.102626845
NUP153_9379	1.18510941	0.919462529	1.088899363	0.91435065
CTSC_32456	7.045938721	6.707566853	6.946670136	6.813457898
DNAJA3_8477	5.563207922	4.863768687	5.252149548	5.343096715
INHBA_33300	3.817828748	3.081606041	3.365853648	3.321157374
DUSP4_8505	0	0	0	0
KCNK3_33037	0	0.10337572	0.115686032	0.052225782
HSPA1A_8841	1.614640681	2.081122508	2.158608808	1.825204224
RAP1GAP_9659	0.16519148	0.199836801	0.170226612	0.198435602
PIN1_9485	4.020148272	3.418741744	3.679632727	3.956443563
LCP2_33021	2.322906337	2.303653098	2.250069171	1.926612495
CYP1A2_8416	7.79070142	7.245292787	7.823411076	7.675596274
MAST2_9198	0	0.05261358	0.059002276	0.102626845
ASCC3_8090	5.142908199	5.175382141	5.013855462	5.096510027
PDK1_32702	3.283132417	2.870691768	3.179001242	3.2834204
SOX4_9920	0.241196275	0.152412305	0	0.052225782
ABCG5_7947	3.530369905	3.418741744	3.478202073	3.408893379
CD8A_32613	0	0.152412305	0.059002276	0
GLRX_8715	4.014744631	3.463147461	3.383273861	3.714580138
SCD1_9787	4.230559021	2.949109259	3.546800469	3.321157374
IL20_32840	0	0	0	0
MBNL2_9202	6.500330284	6.663844271	6.416308373	6.67770883
P2RY6_32293	0	0	0	0
TBC1D10C_32813	0.084958794	0.05261358	0.115686032	0
KRT7_33211	0.510559049	0.199836801	0.322470949	0.198435602
NLRX1_33261	1.945195657	1.178129208	1.439116697	1.544433248
CBR1_8208	2.833173891	1.514554188	2.185337303	2.524909456
DUSP14_8502	0.789010842	0.638890857	0.585867144	0.996613377
SCCPDH_9785	6.011413936	5.524070933	5.977083723	5.830907177
GCDH_8693	8.976677459	8.688630814	8.542509984	8.604260966
RPS6_32332	11.86635809	11.14616851	11.5799828	11.74555494
TRIM59_10085	0.789010842	0.531773458	0.503298585	0.37284833
CHRNA2_32401	0	0	0	0
RAB27A_9638	1.945195657	1.707378312	1.774508438	1.598119648
LOC680367_33329	2.53404623	2.623574881	2.324098286	2.690590721
RRP12_9752	2.563952048	1.934629721	1.504255895	2.439251549
SPRED2_9931	1.223091234	1.054585296	1.249498373	1.469594884
CXCL2_32508	0	0.05261358	0	0
CRMP1_32485	0	0	0.115686032	0.052225782
HRAS_33089	5.637163526	5.191601917	5.315527015	5.664729406
CFHR1_8295	9.724959756	9.943825188	9.468274802	10.01111633
CCL5_32784	0.447785131	0.638890857	0.701483487	0.701927879
GSR_8755	2.136459492	1.622910626	1.645701061	1.940534574
FGFR4_8638	2.951023843	2.515270241	2.587223046	2.82424932
AGMAT_33108	3.76086937	2.976599994	3.354122205	3.501023801
